Trajanje simulacije je 13 minuta i 0sekundi.
Dimenzija mape je 27.
Broj kreiranih kuca je 19.
Broj kreiranih bolnica je 6.
Broj kreiranih kontrolnih punkteva je 19.
Broj kreirane djece je 19.
Broj kreiranih odraslih je 19.
Broj kreiranih starijih je 19.
============================================================
Statisticki podaci o stanju stanovnika zarazenih virusom JavaKov-20:
+ dijete9ime dijete9prezime ,godiste 2002, rod muski, koordinate [26,0]
+ dijete3ime dijete3prezime ,godiste 2010, rod muski, koordinate [26,0]
+ dijete0ime dijete0prezime ,godiste 2013, rod zenski, koordinate [26,0]
+ dijete18ime dijete18prezime ,godiste 2019, rod muski, koordinate [26,0]
+ odrasli15ime odrasli15prezime ,godiste 1960, rod zenski, koordinate [0,26]
+ odrasli8ime odrasli8prezime ,godiste 1970, rod zenski, koordinate [0,26]
+ stari11ime stari11prezime ,godiste 1945, rod muski, koordinate [0,26]
+ dijete17ime dijete17prezime ,godiste 2010, rod muski, koordinate [0,26]
+ stari6ime stari6prezime ,godiste 1952, rod muski, koordinate [0,26]
+ stari13ime stari13prezime ,godiste 1928, rod zenski, koordinate [0,26]
+ odrasli2ime odrasli2prezime ,godiste 1988, rod muski, koordinate [0,0]
+ dijete4ime dijete4prezime ,godiste 2004, rod zenski, koordinate [0,0]
+ odrasli7ime odrasli7prezime ,godiste 1958, rod zenski, koordinate [0,0]
+ stari5ime stari5prezime ,godiste 1949, rod muski, koordinate [0,0]
+ dijete14ime dijete14prezime ,godiste 2017, rod muski, koordinate [0,0]
+ dijete10ime dijete10prezime ,godiste 2005, rod zenski, koordinate [0,0]
+ dijete1ime dijete1prezime ,godiste 2008, rod zenski, koordinate [0,0]
+ dijete16ime dijete16prezime ,godiste 2015, rod zenski, koordinate [26,0]
- stari5ime stari5prezime ,godiste 1949, rod muski, koordinate [3,11]
- dijete10ime dijete10prezime ,godiste 2005, rod zenski, koordinate [8,11]
- dijete4ime dijete4prezime ,godiste 2004, rod zenski, koordinate [4,16]
- odrasli7ime odrasli7prezime ,godiste 1958, rod zenski, koordinate [23,8]
- dijete0ime dijete0prezime ,godiste 2013, rod zenski, koordinate [24,4]
- odrasli8ime odrasli8prezime ,godiste 1970, rod zenski, koordinate [19,23]
+ dijete4ime dijete4prezime ,godiste 2004, rod zenski, koordinate [0,0]
+ dijete0ime dijete0prezime ,godiste 2013, rod zenski, koordinate [0,0]
+ stari10ime stari10prezime ,godiste 1945, rod muski, koordinate [0,0]
- stari6ime stari6prezime ,godiste 1952, rod muski, koordinate [12,4]
- dijete3ime dijete3prezime ,godiste 2010, rod muski, koordinate [15,3]
- odrasli15ime odrasli15prezime ,godiste 1960, rod zenski, koordinate [21,21]
- dijete17ime dijete17prezime ,godiste 2010, rod muski, koordinate [17,17]
- dijete1ime dijete1prezime ,godiste 2008, rod zenski, koordinate [17,6]
- dijete14ime dijete14prezime ,godiste 2017, rod muski, koordinate [16,23]
- dijete16ime dijete16prezime ,godiste 2015, rod zenski, koordinate [9,7]
- dijete4ime dijete4prezime ,godiste 2004, rod zenski, koordinate [4,16]
